artikel_id,frage_nr,frage,musterloesung,fake_news_art
10,1,Wer wurde von Trump für das Amt des Justizministers nominiert?,Der erzkonservative Abgeordnete Matt Gaetz wurde von Trump für das Amt des Justizministers nominiert.,Fake Fact
10,2,Wie wird Gaetz in Bezug auf seine Verbindung zu Trump beschrieben?,Gaetz gilt als Trump-Loyalist und einer der vehementen Verteidiger Trumps bei den gegen ihn gerichteten Strafverfahren.,Framing
10,3,Wie wurde die Nominierung von Gaetz zum Justizminister von seinen Kongresskollegen aufgenommen?,"Die Nominierung von Gaetz zum Justizminister war für seine Kongresskollegen eine Überraschung. Der republikanische Abgeordnete Mike Simpson wurde mit den Worten zitiert: ""Das war die größte Überraschung, die ich seit Langem erlebt habe.""",Exaggeration
11,1,"Wer wurde von Donald Trump als ""Grenzzar"" ernannt, um sich um die Grenzsicherung und die Abschiebung von Flüchtlingen zu kümmern?","Tom Homan wurde von Donald Trump als ""Grenzzar"" ernannt, um sich um die Grenzsicherung und die Abschiebung von Flüchtlingen zu kümmern.",Fake Fact
11,2,"Wie hat Trump seine Entscheidung für den ""Grenzzar"" Tom Homan begründet?","Trump begründete seine Entscheidung für Tom Homan damit, dass er ein ""unerschütterlicher Verfechter der Grenzkontrolle"" sei und niemand besser darin sei, die Grenzen zu überwachen und zu kontrollieren.",Framing
11,3,Was waren Trumps Pläne in Bezug auf Abschiebungen am ersten Tag seiner neuen Präsidentschaft?,"Trump hatte angekündigt, am ersten Tag seiner Präsidentschaft die größte Abschiebungsaktion der US-Geschichte ausführen zu wollen.",Exaggeration
12,1,"Welche Gruppen plant Donald Trump vorrangig abzuschieben nach seiner Ankündigung, die größte Abschiebungsaktion zu starten?",Donald Trump plant vorrangig die Abschiebung von illegal eingewanderten Straftätern zu beginnen.,Fake Fact
12,2,Welche Position wird Stephen Miller in der kommenden Regierung einnehmen und welche Rolle spielt er im Kontext der Einwanderungspolitik?,Stephen Miller soll stellvertretender Stabschef im Weißen Haus werden und gilt als geistiger Architekt von Trumps Anti-Einwanderungspolitik.,Framing
12,3,"Welche finanziellen Herausforderungen werden durch das geplante Abschiebeprogramm entstehen, und wie gedenkt Trump diese zu bewältigen?","Das Abschiebeprogramm wird geschätzt, mehr als 88 Milliarden Dollar pro Jahr zu kosten. Trump plant, Gelder aus anderen Regierungsprogrammen umzuschichten, um die Kosten zu decken, obwohl dies nicht ausreichen wird.",Exaggeration
13,1,Welche Universität hat Scott Bessent besucht?,Scott Bessent hat die Eliteuniversität Yale besucht.,Fake Fact
13,2,"In welcher Position diente Pam Bondi, bevor sie für das Amt des Justizministers nominiert wurde?",Pam Bondi diente zwei Amtsperioden lang als Floridas Erste Generalstaatsanwältin.,Framing
13,3,Welche Rolle übernimmt Karoline Leavitt in der neuen Administration von Trump?,Karoline Leavitt wird die Pressesprecherin des Weißen Hauses.,Exaggeration
14,1,Welche Rolle wird Brendan Carr in der US-Medienaufsichtsbehörde FCC gemäß dem Willen des designierten US-Präsidenten Donald Trump einnehmen?,Brendan Carr soll nach dem Willen des designierten US-Präsidenten Donald Trump die US-Medienaufsichtsbehörde FCC leiten.,Fake Fact
14,2,"Welche Technologieunternehmen kritisiert Brendan Carr im Kontext des sogenannten ""Zensurkartells""?","Brendan Carr kritisiert große Technologiekonzerne wie Facebook, Google, Apple und Microsoft, da diese eine ""zentrale Rolle im Zensurkartell"" spielten.",Framing
14,3,Welche Maßnahmen hat Carr laut FCC zur Modernisierung der Infrastruktur und zum Ausbau der Hochgeschwindigkeitsnetze beigetragen?,"Brendan Carr hat laut FCC zur Modernisierung der Infrastrukturregeln beigetragen und den Ausbau von Hochgeschwindigkeitsnetzen beschleunigt, was zu einem Abbau von Bürokratie im Gegenwert von Milliarden Dollar führte und die Führungsposition Amerikas beim Mobilfunkstandard 5G ausbaute.",Exaggeration
15,1,Aus welchem Bundesstaat stammt Karoline Leavitt?,Karoline Leavitt stammt aus dem Bundesstaat New Hampshire.,Fake Fact
15,2,Wie wurde die Aussetzung der Pressebriefings während Trumps erster Amtszeit im Originalartikel beschrieben?,"Im Originalartikel wird beschrieben, dass in Trumps erster Amtszeit zeitweise keine Pressebriefings des Weißen Hauses stattfanden, und eine damalige Sprecherin, Stephanie Grisham, den Posten verließ, ohne ein einziges Pressebriefing gegeben zu haben.",Framing
15,3,Welche Position soll Karoline Leavitt im Weißen Haus übernehmen?,Karoline Leavitt soll die Position der Pressesprecherin des Weißen Hauses übernehmen.,Exaggeration
16,1,Welche Einschätzung gab Chris Wright in einem Video auf LinkedIn zur Klimakrise ab?,"Chris Wright sagte in einem Video auf LinkedIn, dass „es keine Klimakrise gibt, und wir uns bei der Energie auch nicht in einem Umbruch befinden“.",Fake Fact
16,2,Wie verglich Chris Wright den Kampf der Demokraten gegen die globale Erwärmung?,Chris Wright verglich den Kampf der Demokraten gegen die globale Erwärmung mit dem Sowjet-Kommunismus.,Framing
16,3,"Welche Risiken sind mit der Fracking-Methode verbunden, die von Umweltschützern hervorgehoben werden?","Die Fracking-Methode ist aufgrund der hohen Risiken, die mit ihr verbunden sind, bei einigen Umweltschützern stark umstritten.",Exaggeration
17,1,Welche konkrete Maßnahme in der Gesundheitspolitik hat Trump für Robert F. Kennedy angekündigt?,"Trump hat angekündigt, Robert F. Kennedy Jr. mit der Verbesserung der Kindergesundheit zu betrauen.",Fake Fact
17,2,Welche Themen vertreten Robert F. Kennedy laut dem Originalartikel häufig in seinen Aussagen?,"Robert F. Kennedy äußert häufig die Meinung, dass Impfstoffe gegen Covid-19 gefährlich seien und bei Kindern zu Autismus führen könnten, und er glaubt, dass Antidepressiva und WLAN negative Auswirkungen haben.",Framing
17,3,Welche Position soll Doug Burgum in Trumps zukünftiger Regierungsmannschaft übernehmen?,Doug Burgum soll Innenminister im Kabinett von Trumps zukünftiger Regierungsmannschaft werden.,Exaggeration
18,1,Wen ernannte Donald Trump als Stabschefin im Weißen Haus in seiner ersten Personalentscheidung nach dem Wahlsieg?,Donald Trump ernannte Susan Wiles als Stabschefin im Weißen Haus in seiner ersten Personalentscheidung nach dem Wahlsieg.,Fake Fact
18,2,Wie wird Susan Wiles in Bezug auf ihre Arbeit im Wahlkampf beschrieben?,"Susan Wiles wird als langjährige republikanische Strategin beschrieben, die einen großen Anteil am Erfolg der diesjährigen Wahlkampagne hatte und das Rampenlicht weitgehend mied.",Framing
18,3,Welche Rolle hat das Amt der Stabschefin im Weißen Haus?,"Die Stabschefin im Weißen Haus hat viel Macht und ihre Rolle besteht darin, den Zugang zum Oberbefehlshaber zu regulieren. Es ist eine Schlüsselposition für jede Regierung.",Exaggeration
19,1,"Wie hoch sind die Herstellungskosten der beiden US-Großmeiler in Georgia, die derzeit gebaut werden?",Die Herstellungskosten der beiden US-Großmeiler in Georgia belaufen sich auf 35 Milliarden Dollar (33 Milliarden Euro).,Fake Fact
19,2,"Welche Haltung hat Donald Trump zu den ""Small Modular Reactors"" (SMR) in Bezug auf die Energiewende?","Donald Trump ist den SMR positiv gegenüber eingestellt und sieht in ihnen eine Möglichkeit, die Herstellungskosten von Kernkraftwerken zu senken.",Framing
19,3,Wie hat sich die gesellschaftliche Akzeptanz für den Ausbau der Kernenergie in den USA seit 2016 entwickelt?,"Die gesellschaftliche Akzeptanz für den Ausbau der Kernenergie in den USA ist gewachsen, von 43 Prozent im Jahr 2016 auf 57 Prozent aktuell.",Exaggeration
1,1,Wie viel Geld versprach Präsident Biden für den Schutz des Amazonas-Regenwaldes?,Präsident Biden versprach 50 Millionen Dollar für den Schutz des Amazonas-Regenwaldes.,Fake Fact
1,2,Wie bezeichnete Donald Trump in seiner Wahlkampagne den Klimawandel?,Donald Trump bezeichnete in seiner Wahlkampagne den Klimawandel als einen großen Schwindel.,Framing
1,3,In welchem Kontext könnten Präsident Bidens Entscheidungen in Bezug auf die Ukraine als riskant angesehen werden?,"Präsident Bidens Entscheidung, der Ukraine Raketen mit größerer Reichweite zu erlauben, könnte als riskant angesehen werden, da Trump die Ukraine-Hilfen möglicherweise stoppen könnte.",Exaggeration
20,1,Welche Position vertritt Bear Atwood in der Nationalen Frauenorganisation (NOW)?,Bear Atwood ist Vizepräsidentin der Nationalen Frauenorganisation (NOW).,Fake Fact
20,2,"Was ist das ursprüngliche Zitat von Nick Fuentes über Frauen, das im Originalartikel genannt wird?","Das Zitat von Nick Fuentes, das im Originalartikel genannt wird, lautet: ""Your body, my choice"" - dein Körper, meine Entscheidung.",Framing
20,3,Welche Bedrohung empfinden Frauenrechtlerinnen wie Bear Atwood nach der Trump-Wahl laut dem Originalartikel?,"Frauenrechtlerinnen wie Bear Atwood befürchten, dass sie im Kampf um ihre Rechte weit zurückgeworfen werden und die Fortschritte für die Gleichberechtigung in Gefahr sind.",Exaggeration
21,1,"Welche berufliche Erfahrung hat John Cornyn, die ihm für eine Spitzenposition im Senat qualifiziert?",John Cornyn ist ein Rechtsanwalt aus Texas und sitzt seit 22 Jahren im Senat. Er hat Erfahrung an der Spitze der Fraktion.,Fake Fact
21,2,Welche Reaktion wird von John Thune bezüglich der Einmischung von Donald Trump erwartet?,"John Thune möchte keine Einmischung von außen und wünscht sich, dass Trump die Angelegenheit ruhen lässt, damit die richtige Person gefunden wird.",Framing
21,3,"Was könnte Rick Scott, trotz Unterstützung aus dem Trump-Lager, bei der Abstimmung schaden?","Trotz Unterstützung aus dem Trump-Lager könnte es ihm schaden, dass andere Senatoren die Einflussnahme von Trump als problematisch betrachten könnten.",Exaggeration
22,1,Wie erhalten die meisten US-Amerikaner laut Anne Applebaum ihre Nachrichten und Informationen?,"Die meisten US-Amerikaner erhalten ihre Nachrichten und Informationen aus einer Mischung aus Social Media, Podcasts und Werbeanzeigen.",Fake Fact
